link,title,category,fandom,ficwriter,rated,reviews,favs,follows,updated_at,published_at,chapters,language,words,genre,status,characters
https://www.fanfiction.net/s/7673/1/Harry-Potter-and-the-Living-Ghost-Solution-Consolidated,Harry Potter and the Living Ghost Solution: Consolidated,Books,Harry Potter,Wanderlust,Fiction  K+,41,,,,12/23/1999 ,,English ,"2,642",,,
https://www.fanfiction.net/s/8846/1/Harry-Sirius,Harry & Sirius,Books,Harry Potter,Katherine the Great,Fiction  K,109,21,14,,12/24/1999 ,,English ,"1,365",,,
https://www.fanfiction.net/s/8860/1/Dudley-s-Dilemma-Consolidated,Dudley's Dilemma: Consolidated,Books,Harry Potter,Wanderlust,Fiction  K,27,4,3,,12/24/1999 ,,English ,"1,488",,,
https://www.fanfiction.net/s/407/1/Petunia-s-Story,Petunia's Story,Books,Harry Potter,Samantha,Fiction  K,172,60,9,,12/25/1999 ,,English ,692,,,
https://www.fanfiction.net/s/8965/1/Transformations,Transformations,Books,Harry Potter,Icy Riddle,Fiction  K+,39,3,2,,12/25/1999 ,2  ,English,"2,474",Romance,,
https://www.fanfiction.net/s/5582/1/Mischief-Managed,Mischief Managed,Books,Harry Potter,Nora,Fiction  K,57,13,3,,12/28/1999 ,,English ,"1,011",,,
https://www.fanfiction.net/s/9103/1/It-s-illusions-I-recall,It's illusions I recall,Books,Harry Potter,Jenny,Fiction  K+,42,1,,,1/15/2000 ,2  ,English,"2,686",,,
https://www.fanfiction.net/s/8795/1/Millennium,Millennium,Books,Harry Potter,Samantha,Fiction  K+,59,1,,,12/28/1999 ,,English ,"3,840",,,
https://www.fanfiction.net/s/6777/1/Point-in-Time,Point in Time,Books,Harry Potter,Icy Riddle,Fiction  K+,13,3,,,12/30/1999 ,,English ,"1,081",,,
https://www.fanfiction.net/s/5674/1/One-Last-Night-Betrayal,One Last Night/Betrayal,Books,Harry Potter,Icy Riddle,Fiction  K+,12,2,2,,12/30/1999 ,,English ,"1,824",,,
https://www.fanfiction.net/s/5875/1/Harry-s-Last-Fling,Harry's Last Fling,Books,Harry Potter,Celeste Wilkens,Fiction  K,102,5,2,,1/1/2000 ,,English,885,Romance ,,
https://www.fanfiction.net/s/5122/1/In-the-Dark,In the Dark,Books,Harry Potter,Jess22,Fiction  K+,29,,,,1/3/2000 ,,English ,602,,,
https://www.fanfiction.net/s/5717/1/Happy-Birthday-Hermione,Happy Birthday Hermione,Books,Harry Potter,Mena Baines,Fiction  K,246,28,5,,12/31/1999 ,,English,"3,894",Romance ,,
https://www.fanfiction.net/s/4890/1/Love-Hate-Death-and-a-Diary,"Love, Hate, Death, and a Diary",Books,Harry Potter,Slytherin Dragon,Fiction  K,60,4,1,,1/5/2000 ,,English ,"3,079",,,
https://www.fanfiction.net/s/5174/1/Beatrice,Beatrice,Books,Harry Potter,Brie Cheese Eater-old account,Fiction  K,35,1,1,,1/5/2000 ,,English ,869,,,
https://www.fanfiction.net/s/4976/1/Harry-Pothead,Harry Pothead,Books,Harry Potter,pooman,Fiction  K+,193,28,2,,1/7/2000 ,,English,162,Humor ,,
https://www.fanfiction.net/s/4959/1/Remembering-Lily,Remembering Lily,Books,Harry Potter,Bumblebee,Fiction  K,40,4,,,1/7/2000 ,,English ,"2,540",,,
https://www.fanfiction.net/s/5019/1/Ginny-s-Secret,Ginny's Secret,Books,Harry Potter,Wanderlust,Fiction  K,63,3,3,,1/8/2000 ,,English ,550,,,
